variables="log(y+)","u+"
zone,t="x=     0.97008"
  -0.104161E+01   0.908636E-01
  -0.740378E+00   0.181812E+00
  -0.563950E+00   0.272929E+00
  -0.438541E+00   0.364300E+00
  -0.341025E+00   0.456010E+00
  -0.261105E+00   0.548144E+00
  -0.193285E+00   0.640788E+00
  -0.134287E+00   0.734028E+00
  -0.819946E-01   0.827950E+00
  -0.349649E-01   0.922642E+00
   0.783219E-02   0.101819E+01
   0.471568E-01   0.111469E+01
   0.835861E-01   0.121222E+01
   0.117569E+00   0.131087E+01
   0.149459E+00   0.141074E+01
   0.179545E+00   0.151191E+01
   0.208059E+00   0.161447E+01
   0.235196E+00   0.171853E+01
   0.261117E+00   0.182416E+01
   0.285959E+00   0.193146E+01
   0.309840E+00   0.204052E+01
   0.332859E+00   0.215143E+01
   0.355103E+00   0.226427E+01
   0.376648E+00   0.237915E+01
   0.397559E+00   0.249613E+01
   0.417895E+00   0.261530E+01
   0.437708E+00   0.273674E+01
   0.457043E+00   0.286051E+01
   0.475940E+00   0.298668E+01
   0.494437E+00   0.311531E+01
   0.512566E+00   0.324643E+01
   0.530356E+00   0.338009E+01
   0.547834E+00   0.351629E+01
   0.565025E+00   0.365504E+01
   0.581949E+00   0.379633E+01
   0.598628E+00   0.394012E+01
   0.615079E+00   0.408636E+01
   0.631319E+00   0.423495E+01
   0.647363E+00   0.438581E+01
   0.663225E+00   0.453879E+01
   0.678918E+00   0.469376E+01
   0.694454E+00   0.485054E+01
   0.709843E+00   0.500894E+01
   0.725095E+00   0.516875E+01
   0.740221E+00   0.532975E+01
   0.755228E+00   0.549170E+01
   0.770124E+00   0.565436E+01
   0.784917E+00   0.581750E+01
   0.799613E+00   0.598089E+01
   0.814219E+00   0.614428E+01
   0.828741E+00   0.630746E+01
   0.843184E+00   0.647023E+01
   0.857553E+00   0.663238E+01
   0.871852E+00   0.679376E+01
   0.886088E+00   0.695421E+01
   0.900262E+00   0.711357E+01
   0.914380E+00   0.727175E+01
   0.928445E+00   0.742862E+01
   0.942459E+00   0.758412E+01
   0.956427E+00   0.773816E+01
   0.970351E+00   0.789071E+01
   0.984235E+00   0.804182E+01
   0.998079E+00   0.819160E+01
   0.101189E+01   0.834010E+01
   0.102566E+01   0.848727E+01
   0.103940E+01   0.863305E+01
   0.105312E+01   0.877739E+01
   0.106680E+01   0.892025E+01
   0.108046E+01   0.906159E+01
   0.109409E+01   0.920139E+01
   0.110770E+01   0.933962E+01
   0.112129E+01   0.947626E+01
   0.113486E+01   0.961131E+01
   0.114841E+01   0.974475E+01
   0.116194E+01   0.987659E+01
   0.117545E+01   0.100068E+02
   0.118895E+01   0.101355E+02
   0.120243E+01   0.102625E+02
   0.121590E+01   0.103880E+02
   0.122936E+01   0.105120E+02
   0.124280E+01   0.106343E+02
   0.125623E+01   0.107552E+02
   0.126965E+01   0.108745E+02
   0.128306E+01   0.109924E+02
   0.129646E+01   0.111089E+02
   0.130985E+01   0.112241E+02
   0.132323E+01   0.113381E+02
   0.133660E+01   0.114510E+02
   0.134997E+01   0.115628E+02
   0.136333E+01   0.116736E+02
   0.137668E+01   0.117834E+02
   0.139003E+01   0.118923E+02
   0.140337E+01   0.120001E+02
   0.141670E+01   0.121071E+02
   0.143003E+01   0.122131E+02
   0.144336E+01   0.123183E+02
   0.145668E+01   0.124226E+02
   0.146999E+01   0.125261E+02
   0.148330E+01   0.126288E+02
   0.149661E+01   0.127308E+02
   0.150991E+01   0.128320E+02
   0.152321E+01   0.129324E+02
   0.153651E+01   0.130322E+02
   0.154980E+01   0.131313E+02
   0.156310E+01   0.132297E+02
   0.157638E+01   0.133275E+02
   0.158967E+01   0.134246E+02
   0.160295E+01   0.135212E+02
   0.161624E+01   0.136172E+02
   0.162951E+01   0.137126E+02
   0.164279E+01   0.138074E+02
   0.165607E+01   0.139017E+02
   0.166934E+01   0.139955E+02
   0.168261E+01   0.140888E+02
   0.169588E+01   0.141816E+02
   0.170915E+01   0.142740E+02
   0.172242E+01   0.143659E+02
   0.173569E+01   0.144573E+02
   0.174895E+01   0.145484E+02
   0.176222E+01   0.146390E+02
   0.177548E+01   0.147292E+02
   0.178874E+01   0.148191E+02
   0.180200E+01   0.149085E+02
   0.181526E+01   0.149976E+02
   0.182852E+01   0.150864E+02
   0.184178E+01   0.151748E+02
   0.185504E+01   0.152629E+02
   0.186829E+01   0.153507E+02
   0.188155E+01   0.154382E+02
   0.189481E+01   0.155254E+02
   0.190806E+01   0.156123E+02
   0.192132E+01   0.156990E+02
   0.193457E+01   0.157854E+02
   0.194782E+01   0.158715E+02
   0.196108E+01   0.159574E+02
   0.197433E+01   0.160431E+02
   0.198758E+01   0.161286E+02
   0.200083E+01   0.162138E+02
   0.201409E+01   0.162989E+02
   0.202734E+01   0.163837E+02
   0.204059E+01   0.164684E+02
   0.205384E+01   0.165529E+02
   0.206709E+01   0.166372E+02
   0.208034E+01   0.167214E+02
   0.209359E+01   0.168054E+02
   0.210684E+01   0.168893E+02
   0.212009E+01   0.169731E+02
   0.213334E+01   0.170567E+02
   0.214658E+01   0.171402E+02
   0.215983E+01   0.172237E+02
   0.217308E+01   0.173070E+02
   0.218633E+01   0.173902E+02
   0.219958E+01   0.174734E+02
   0.221283E+01   0.175564E+02
   0.222608E+01   0.176395E+02
   0.223932E+01   0.177224E+02
   0.225257E+01   0.178053E+02
   0.226582E+01   0.178882E+02
   0.227907E+01   0.179711E+02
   0.229231E+01   0.180539E+02
   0.230556E+01   0.181367E+02
   0.231881E+01   0.182195E+02
   0.233206E+01   0.183023E+02
   0.234530E+01   0.183852E+02
   0.235855E+01   0.184680E+02
   0.237180E+01   0.185509E+02
   0.238504E+01   0.186339E+02
   0.239829E+01   0.187169E+02
   0.241154E+01   0.187999E+02
   0.242478E+01   0.188831E+02
   0.243803E+01   0.189663E+02
   0.245128E+01   0.190496E+02
   0.246452E+01   0.191330E+02
   0.247777E+01   0.192166E+02
   0.249102E+01   0.193003E+02
   0.250426E+01   0.193841E+02
   0.251751E+01   0.194681E+02
   0.253076E+01   0.195522E+02
   0.254400E+01   0.196366E+02
   0.255725E+01   0.197211E+02
   0.257050E+01   0.198059E+02
   0.258374E+01   0.198909E+02
   0.259699E+01   0.199761E+02
   0.261023E+01   0.200616E+02
   0.262348E+01   0.201474E+02
   0.263673E+01   0.202334E+02
   0.264997E+01   0.203198E+02
   0.266322E+01   0.204065E+02
   0.267647E+01   0.204936E+02
   0.268971E+01   0.205811E+02
   0.270296E+01   0.206689E+02
   0.271620E+01   0.207572E+02
   0.272945E+01   0.208460E+02
   0.274270E+01   0.209352E+02
   0.275594E+01   0.210249E+02
   0.276919E+01   0.211152E+02
   0.278243E+01   0.212060E+02
   0.279568E+01   0.212974E+02
   0.280893E+01   0.213895E+02
   0.282217E+01   0.214822E+02
   0.283542E+01   0.215756E+02
   0.284866E+01   0.216698E+02
   0.286191E+01   0.217648E+02
   0.287516E+01   0.218606E+02
   0.288840E+01   0.219573E+02
   0.290165E+01   0.220549E+02
   0.291489E+01   0.221535E+02
   0.292814E+01   0.222532E+02
   0.294139E+01   0.223540E+02
   0.295463E+01   0.224560E+02
   0.296788E+01   0.225595E+02
   0.298112E+01   0.226647E+02
   0.299437E+01   0.227718E+02
   0.300762E+01   0.228809E+02
   0.302086E+01   0.229922E+02
   0.303411E+01   0.231055E+02
   0.304735E+01   0.232211E+02
   0.306060E+01   0.233390E+02
   0.307385E+01   0.234593E+02
   0.308709E+01   0.235821E+02
   0.310034E+01   0.237077E+02
   0.311358E+01   0.238361E+02
   0.312683E+01   0.239678E+02
   0.314008E+01   0.241030E+02
   0.315332E+01   0.242421E+02
   0.316657E+01   0.243853E+02
   0.317981E+01   0.245331E+02
   0.319306E+01   0.246857E+02
   0.320631E+01   0.248431E+02
   0.321955E+01   0.250051E+02
   0.323280E+01   0.251710E+02
   0.324604E+01   0.253392E+02
   0.325929E+01   0.255076E+02
   0.327254E+01   0.256731E+02
   0.328578E+01   0.258331E+02
   0.329903E+01   0.259875E+02
   0.331227E+01   0.261389E+02
