variables="x","y","mut"
zone, t="CFL3D"
 9.700000000E-01 2.569928074E-04 1.430171076E+01
 9.700000000E-01 2.649677234E-04 1.485599495E+01
 9.700000000E-01 2.731891416E-04 1.542802345E+01
 9.700000000E-01 2.816647104E-04 1.601830059E+01
 9.700000000E-01 2.904023148E-04 1.662734360E+01
 9.700000000E-01 2.994100835E-04 1.725568277E+01
 9.700000000E-01 3.086963964E-04 1.790386165E+01
 9.700000000E-01 3.182698926E-04 1.857243722E+01
 9.700000000E-01 3.281394786E-04 1.926198008E+01
 9.700000000E-01 3.383143362E-04 1.997307460E+01
 9.700000000E-01 3.488039309E-04 2.070631904E+01
 9.700000000E-01 3.596180216E-04 2.146232571E+01
 9.700000000E-01 3.707666685E-04 2.224172105E+01
 9.700000000E-01 3.822602435E-04 2.304514572E+01
 9.700000000E-01 3.941094390E-04 2.387325472E+01
 9.700000000E-01 4.063252786E-04 2.472671735E+01
 9.700000000E-01 4.189191268E-04 2.560621729E+01
 9.700000000E-01 4.319026996E-04 2.651245258E+01
 9.700000000E-01 4.452880760E-04 2.744613555E+01
 9.700000000E-01 4.590877084E-04 2.840799275E+01
 9.700000000E-01 4.733144347E-04 2.939876485E+01
 9.700000000E-01 4.879814904E-04 3.041920645E+01
 9.700000000E-01 5.031025201E-04 3.147008588E+01
 9.700000000E-01 5.186915913E-04 3.255218497E+01
 9.700000000E-01 5.347632065E-04 3.366629869E+01
 9.700000000E-01 5.513323174E-04 3.481323477E+01
 9.700000000E-01 5.684143384E-04 3.599381331E+01
 9.700000000E-01 5.860251610E-04 3.720886622E+01
 9.700000000E-01 6.041811688E-04 3.845923664E+01
 9.700000000E-01 6.228992525E-04 3.974577825E+01
 9.700000000E-01 6.421968257E-04 4.106935452E+01
 9.700000000E-01 6.620918412E-04 4.243083782E+01
 9.700000000E-01 6.826028075E-04 4.383110845E+01
 9.700000000E-01 7.037488061E-04 4.527105356E+01
 9.700000000E-01 7.255495094E-04 4.675156589E+01
 9.700000000E-01 7.480251988E-04 4.827354246E+01
 9.700000000E-01 7.711967837E-04 4.983788301E+01
 9.700000000E-01 7.950858208E-04 5.144548839E+01
 9.700000000E-01 8.197145343E-04 5.309725869E+01
 9.700000000E-01 8.451058367E-04 5.479409125E+01
 9.700000000E-01 8.712833496E-04 5.653687841E+01
 9.700000000E-01 8.982714263E-04 5.832650512E+01
 9.700000000E-01 9.260951740E-04 6.016384624E+01
 9.700000000E-01 9.547804775E-04 6.204976367E+01
 9.700000000E-01 9.843540231E-04 6.398510318E+01
 9.700000000E-01 1.014843323E-03 6.597069096E+01
 9.700000000E-01 1.046276742E-03 6.800732985E+01
 9.700000000E-01 1.078683524E-03 7.009579529E+01
 9.700000000E-01 1.112093815E-03 7.223683091E+01
 9.700000000E-01 1.146538699E-03 7.443114369E+01
 9.700000000E-01 1.182050219E-03 7.667939883E+01
 9.700000000E-01 1.218661412E-03 7.898221412E+01
 9.700000000E-01 1.256406339E-03 8.134015387E+01
 9.700000000E-01 1.295320114E-03 8.375372241E+01
 9.700000000E-01 1.335438937E-03 8.622335699E+01
 9.700000000E-01 1.376800134E-03 8.874942026E+01
 9.700000000E-01 1.419442181E-03 9.133219206E+01
 9.700000000E-01 1.463404750E-03 9.397186064E+01
 9.700000000E-01 1.508728740E-03 9.666851328E+01
 9.700000000E-01 1.555456315E-03 9.942212616E+01
 9.700000000E-01 1.603630947E-03 1.022325535E+02
 9.700000000E-01 1.653297453E-03 1.050995161E+02
 9.700000000E-01 1.704502039E-03 1.080225888E+02
 9.700000000E-01 1.757292340E-03 1.110011871E+02
 9.700000000E-01 1.811717468E-03 1.140345535E+02
 9.700000000E-01 1.867828056E-03 1.171217420E+02
 9.700000000E-01 1.925676303E-03 1.202616021E+02
 9.700000000E-01 1.985316026E-03 1.234527621E+02
 9.700000000E-01 2.046802709E-03 1.266936105E+02
 9.700000000E-01 2.110193553E-03 1.299822771E+02
 9.700000000E-01 2.175547532E-03 1.333166127E+02
 9.700000000E-01 2.242925446E-03 1.366941671E+02
 9.700000000E-01 2.312389975E-03 1.401121671E+02
 9.700000000E-01 2.384005744E-03 1.435674920E+02
 9.700000000E-01 2.457839379E-03 1.470566487E+02
 9.700000000E-01 2.533959566E-03 1.505757449E+02
 9.700000000E-01 2.612437122E-03 1.541204619E+02
 9.700000000E-01 2.693345054E-03 1.576860251E+02
 9.700000000E-01 2.776758633E-03 1.612671741E+02
 9.700000000E-01 2.862755459E-03 1.648581311E+02
 9.700000000E-01 2.951415535E-03 1.684525684E+02
 9.700000000E-01 3.042821343E-03 1.720435751E+02
 9.700000000E-01 3.137057920E-03 1.756236216E+02
 9.700000000E-01 3.234212933E-03 1.791845252E+02
 9.700000000E-01 3.334376767E-03 1.827174132E+02
 9.700000000E-01 3.437642606E-03 1.862126866E+02
 9.700000000E-01 3.544106519E-03 1.896599832E+02
 9.700000000E-01 3.653867550E-03 1.930481409E+02
 9.700000000E-01 3.767027811E-03 1.963651613E+02
 9.700000000E-01 3.883692577E-03 1.995981743E+02
 9.700000000E-01 4.003970382E-03 2.027334042E+02
 9.700000000E-01 4.127973121E-03 2.057561374E+02
 9.700000000E-01 4.255816156E-03 2.086506935E+02
 9.700000000E-01 4.387618419E-03 2.114003994E+02
 9.700000000E-01 4.523502529E-03 2.139875688E+02
 9.700000000E-01 4.663594900E-03 2.163934866E+02
 9.700000000E-01 4.808025860E-03 2.185984018E+02
 9.700000000E-01 4.956929776E-03 2.203476380E+02
 9.700000000E-01 5.110445174E-03 2.213568735E+02
 9.700000000E-01 5.268714871E-03 2.218344005E+02
 9.700000000E-01 5.431886107E-03 2.219166028E+02
 9.700000000E-01 5.600110683E-03 2.216851215E+02
 9.700000000E-01 5.773545098E-03 2.211773740E+02
 9.700000000E-01 5.952350701E-03 2.203945573E+02
 9.700000000E-01 6.136693837E-03 2.193095332E+02
 9.700000000E-01 6.326746002E-03 2.178739682E+02
 9.700000000E-01 6.522684003E-03 2.160244378E+02
 9.700000000E-01 6.724690123E-03 2.136876976E+02
 9.700000000E-01 6.932952291E-03 2.107856642E+02
 9.700000000E-01 7.147664256E-03 2.072408445E+02
 9.700000000E-01 7.369025765E-03 2.029829730E+02
 9.700000000E-01 7.597242754E-03 1.979574370E+02
 9.700000000E-01 7.832527535E-03 1.921357133E+02
 9.700000000E-01 8.075098997E-03 1.855275965E+02
 9.700000000E-01 8.325182805E-03 1.781945998E+02
 9.700000000E-01 8.583011616E-03 1.702636736E+02
 9.700000000E-01 8.848825290E-03 1.619401810E+02
 9.700000000E-01 9.122871116E-03 1.535184581E+02
 9.700000000E-01 9.405404043E-03 1.453863613E+02
 9.700000000E-01 9.696686912E-03 1.380148351E+02
 9.700000000E-01 9.996990708E-03 1.319085463E+02
 9.700000000E-01 1.030659481E-02 1.274483101E+02
 9.700000000E-01 1.062578724E-02 1.242404655E+02
 9.700000000E-01 1.095486494E-02 1.201861149E+02
 9.700000000E-01 1.129413407E-02 1.100209083E+02
 9.700000000E-01 1.164391025E-02 9.739225640E+01
 9.700000000E-01 1.200451888E-02 8.373789164E+01
 9.700000000E-01 1.237629543E-02 6.911003050E+01
 9.700000000E-01 1.275958577E-02 5.368067989E+01
 9.700000000E-01 1.315474649E-02 3.791032469E+01
 9.700000000E-01 1.356214521E-02 2.301647058E+01
 9.700000000E-01 1.398216092E-02 1.137795414E+01
 9.700000000E-01 1.441518438E-02 4.206297493E+00
 9.700000000E-01 1.486161844E-02 8.149304561E-01
 9.700000000E-01 1.532187841E-02 8.284989928E-02
 9.700000000E-01 1.579639248E-02 1.282651680E-02
 9.700000000E-01 1.628560209E-02 7.555597423E-03
 9.700000000E-01 1.678996237E-02 7.182673477E-03
 9.700000000E-01 1.730994252E-02 7.157420933E-03
 9.700000000E-01 1.784602628E-02 7.155782362E-03
 9.700000000E-01 1.839871239E-02 7.155680921E-03
 9.700000000E-01 1.896851501E-02 7.155675395E-03
 9.700000000E-01 1.955596422E-02 7.155675607E-03
 9.700000000E-01 2.016160655E-02 7.155676150E-03
 9.700000000E-01 2.078600543E-02 7.155676718E-03
 9.700000000E-01 2.142974175E-02 7.155677294E-03
 9.700000000E-01 2.209341436E-02 7.155677881E-03
 9.700000000E-01 2.277764071E-02 7.155678481E-03
 9.700000000E-01 2.348305733E-02 7.155679094E-03
 9.700000000E-01 2.421032048E-02 7.155679722E-03
 9.700000000E-01 2.496010673E-02 7.155680366E-03
 9.700000000E-01 2.573311363E-02 7.155681027E-03
 9.700000000E-01 2.653006030E-02 7.155681706E-03
 9.700000000E-01 2.735168816E-02 7.155682403E-03
 9.700000000E-01 2.819876157E-02 7.155683121E-03
 9.700000000E-01 2.907206858E-02 7.155683858E-03
 9.700000000E-01 2.997242163E-02 7.155684616E-03
 9.700000000E-01 3.090065833E-02 7.155685396E-03
 9.700000000E-01 3.185764223E-02 7.155686199E-03
 9.700000000E-01 3.284426362E-02 7.155687024E-03
 9.700000000E-01 3.386144036E-02 7.155687873E-03
 9.700000000E-01 3.491011874E-02 7.155688746E-03
 9.700000000E-01 3.599127436E-02 7.155689644E-03
 9.700000000E-01 3.710591303E-02 7.155690569E-03
 9.700000000E-01 3.825507171E-02 7.155691519E-03
 9.700000000E-01 3.943981948E-02 7.155692497E-03
 9.700000000E-01 4.066125851E-02 7.155693503E-03
 9.700000000E-01 4.192052512E-02 7.155694538E-03
 9.700000000E-01 4.321879083E-02 7.155695602E-03
 9.700000000E-01 4.455726341E-02 7.155696696E-03
 9.700000000E-01 4.593718808E-02 7.155697821E-03
 9.700000000E-01 4.735984857E-02 7.155698979E-03
 9.700000000E-01 4.882656842E-02 7.155700169E-03
 9.700000000E-01 5.033871212E-02 7.155701393E-03
 9.700000000E-01 5.189768644E-02 7.155702651E-03
 9.700000000E-01 5.350494170E-02 7.155703945E-03
 9.700000000E-01 5.516197316E-02 7.155705275E-03
 9.700000000E-01 5.687032236E-02 7.155706643E-03
 9.700000000E-01 5.863157861E-02 7.155708048E-03
 9.700000000E-01 6.044738041E-02 7.155709493E-03
 9.700000000E-01 6.231941702E-02 7.155710978E-03
 9.700000000E-01 6.424943002E-02 7.155712504E-03
 9.700000000E-01 6.623921492E-02 7.155714072E-03
 9.700000000E-01 6.829062284E-02 7.155715684E-03
 9.700000000E-01 7.040556222E-02 7.155717340E-03
 9.700000000E-01 7.258600061E-02 7.155719041E-03
 9.700000000E-01 7.483396650E-02 7.155720789E-03
 9.700000000E-01 7.715155119E-02 7.155722584E-03
 9.700000000E-01 7.954091076E-02 7.155724428E-03
 9.700000000E-01 8.200426804E-02 7.155726323E-03
 9.700000000E-01 8.454391473E-02 7.155728268E-03
 9.700000000E-01 8.716221349E-02 7.155730266E-03
 9.700000000E-01 8.986160014E-02 7.155732317E-03
 9.700000000E-01 9.264458596E-02 7.155734424E-03
 9.700000000E-01 9.551375998E-02 7.155736586E-03
 9.700000000E-01 9.847179142E-02 7.155738806E-03
 9.700000000E-01 1.015214322E-01 7.155741084E-03
 9.700000000E-01 1.046655193E-01 7.155743423E-03
 9.700000000E-01 1.079069779E-01 7.155745822E-03
 9.700000000E-01 1.112488235E-01 7.155748285E-03
 9.700000000E-01 1.146941649E-01 7.155750812E-03
 9.700000000E-01 1.182462075E-01 7.155753404E-03
 9.700000000E-01 1.219082558E-01 7.155756063E-03
 9.700000000E-01 1.256837165E-01 7.155758790E-03
 9.700000000E-01 1.295761021E-01 7.155761588E-03
 9.700000000E-01 1.335890337E-01 7.155764456E-03
 9.700000000E-01 1.377262445E-01 7.155767398E-03
 9.700000000E-01 1.419915834E-01 7.155770413E-03
 9.700000000E-01 1.463890185E-01 7.155773505E-03
 9.700000000E-01 1.509226409E-01 7.155776673E-03
 9.700000000E-01 1.555966681E-01 7.155779920E-03
 9.700000000E-01 1.604154485E-01 7.155783248E-03
 9.700000000E-01 1.653834650E-01 7.155786657E-03
 9.700000000E-01 1.705053394E-01 7.155790150E-03
 9.700000000E-01 1.757858367E-01 7.155793728E-03
 9.700000000E-01 1.812298693E-01 7.155797392E-03
 9.700000000E-01 1.868425019E-01 7.155801144E-03
 9.700000000E-01 1.926289561E-01 7.155804985E-03
 9.700000000E-01 1.985946149E-01 7.155808917E-03
 9.700000000E-01 2.047450282E-01 7.155812942E-03
 9.700000000E-01 2.110859180E-01 7.155817060E-03
 9.700000000E-01 2.176231832E-01 7.155821274E-03
 9.700000000E-01 2.243629054E-01 7.155825584E-03
 9.700000000E-01 2.313113547E-01 7.155829992E-03
 9.700000000E-01 2.384749954E-01 7.155834499E-03
 9.700000000E-01 2.458604917E-01 7.155839107E-03
 9.700000000E-01 2.534747146E-01 7.155843816E-03
 9.700000000E-01 2.613247476E-01 7.155848627E-03
 9.700000000E-01 2.694178936E-01 7.155853542E-03
 9.700000000E-01 2.777616819E-01 7.155858562E-03
 9.700000000E-01 2.863638747E-01 7.155863686E-03
 9.700000000E-01 2.952324747E-01 7.155868917E-03
 9.700000000E-01 3.043757325E-01 7.155874253E-03
 9.700000000E-01 3.138021542E-01 7.155879696E-03
 9.700000000E-01 3.235205092E-01 7.155885246E-03
 9.700000000E-01 3.335398386E-01 7.155890902E-03
 9.700000000E-01 3.438694635E-01 7.155896665E-03
 9.700000000E-01 3.545189937E-01 7.155902533E-03
 9.700000000E-01 3.654983366E-01 7.155908507E-03
 9.700000000E-01 3.768177062E-01 7.155914585E-03
 9.700000000E-01 3.884876333E-01 7.155920766E-03
 9.700000000E-01 4.005189743E-01 7.155927048E-03
 9.700000000E-01 4.129229222E-01 7.155933430E-03
 9.700000000E-01 4.257110165E-01 7.155939910E-03
 9.700000000E-01 4.388951541E-01 7.155946484E-03
 9.700000000E-01 4.524876003E-01 7.155953150E-03
 9.700000000E-01 4.665010004E-01 7.155959905E-03
 9.700000000E-01 4.809483911E-01 7.155966744E-03
 9.700000000E-01 4.958432130E-01 7.155973664E-03
 9.700000000E-01 5.111993229E-01 7.155980659E-03
 9.700000000E-01 5.270310067E-01 7.155987724E-03
 9.700000000E-01 5.433529929E-01 7.155994853E-03
 9.700000000E-01 5.601804658E-01 7.156002040E-03
 9.700000000E-01 5.775290804E-01 7.156009277E-03
 9.700000000E-01 5.954149761E-01 7.156016556E-03
 9.700000000E-01 6.138547925E-01 7.156023868E-03
 9.700000000E-01 6.328656843E-01 7.156031204E-03
 9.700000000E-01 6.524653374E-01 7.156038551E-03
 9.700000000E-01 6.726719857E-01 7.156045899E-03
 9.700000000E-01 6.935044276E-01 7.156053234E-03
 9.700000000E-01 7.149820438E-01 7.156060541E-03
 9.700000000E-01 7.371248150E-01 7.156067802E-03
 9.700000000E-01 7.599533409E-01 7.156075000E-03
 9.700000000E-01 7.834888592E-01 7.156082120E-03
 9.700000000E-01 8.077532652E-01 7.156089146E-03
 9.700000000E-01 8.327691323E-01 7.156096036E-03
 9.700000000E-01 8.585597329E-01 7.156102674E-03
 9.700000000E-01 8.851490605E-01 7.156109037E-03
 9.700000000E-01 9.125618512E-01 7.156115947E-03
 9.700000000E-01 9.408236075E-01 7.156125203E-03
 9.700000000E-01 9.699606216E-01 7.156132983E-03
 9.700000000E-01 1.000000000E+00 7.156165961E-03
